supertype,p.value,p.adjusted,estimate,std.error,conf.low,conf.high,statistic,Ntotal,Ntotal.percent,N(AD=0),N(AD=0).percent,N(AD=1),N(AD=1).percent
A02,0.007856533669177816,0.08642187036095597,1.3295718862971755,0.10716266455260294,1.0779446468166594,1.6408704579362856,2.658173922821826,696,24.56%,287,22.60%,409,26.15%
B27,0.029052070436356988,0.31957277479992685,1.3341952165481519,0.13209227455047784,1.0311937462235694,1.7313386871350698,2.1827792504110515,303,10.69%,119,9.37%,184,11.76%
A24,0.06693075412800702,0.7362382954080772,0.775572521128952,0.13871972738128757,0.5907722130699062,1.0180761960396607,-1.8321387319444409,254,8.96%,127,10.00%,127,8.12%
A01,0.1300971498370479,1,0.8505647962767112,0.10692519210522623,0.6896108806099277,1.048767263814257,-1.513718897886339,707,24.95%,331,26.06%,376,24.04%
A03,0.5256497822630806,1,0.9342617482955842,0.1071417280383718,0.7572579194890732,1.152623429023485,-0.6346606203911116,654,23.08%,299,23.54%,355,22.70%
B58,0.6624873149870683,1,0.9259235743975492,0.17632718808398548,0.6556746682799653,1.3104345983772918,-0.43648164316748417,144,5.08%,67,5.28%,77,4.92%
B62,0.7137709695451248,1,0.9465399106007444,0.14978925107288998,0.7060647713681213,1.2709648534941633,-0.36679629759301946,211,7.45%,97,7.64%,114,7.29%
B07,0.8396577009040718,1,0.9785729149711853,0.10705201598213587,0.7933415087806083,1.2071208826295654,-0.20233133990947905,663,23.39%,299,23.54%,364,23.27%
B44,0.8648254911358273,1,0.9819535036703186,0.10697766396989603,0.7961316106953912,1.2110126701554211,-0.1702347918004638,744,26.25%,335,26.38%,409,26.15%
A01A24,0.8965530376882692,1,1.024293564761799,0.1846157354544122,0.7142384406292506,1.4749848664238,0.13001692304194204,131,4.62%,58,4.57%,73,4.67%
B08,0.952067620051447,1,1.0073004809958386,0.12100981318811382,0.7948927871424993,1.2776736938785678,0.06011050909641691,376,13.27%,168,13.23%,208,13.30%
